Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 12.50      0.02     0.02  2798840     0.00     0.00  Interval::Interval(Interval const&)
 12.50      0.04     0.02  2466930     0.00     0.00  Monomial::Monomial(Monomial const&)
 12.50      0.06     0.02  1268324     0.00     0.00  std::_List_base<Monomial, std::allocator<Monomial> >::_M_clear()
  6.25      0.07     0.01   973013     0.00     0.00  operator<(Monomial const&, Monomial const&)
  6.25      0.08     0.01   962786     0.00     0.00  Monomial::operator=(Monomial const&)
  6.25      0.09     0.01   609642     0.00     0.00  Interval::operator*=(Interval const&)
  6.25      0.10     0.01   169541     0.00     0.00  std::list<Monomial, std::allocator<Monomial> >::operator=(std::list<Monomial, std::allocator<Monomial> > const&)
  6.25      0.11     0.01   141659     0.00     0.00  Monomial::intEvalNormal(Interval&, std::vector<Interval, std::allocator<Interval> > const&) const
  6.25      0.12     0.01    53357     0.00     0.00  Monomial::cutoff(Monomial&, Interval const&)
  6.25      0.13     0.01      912     0.01     0.02  Polynomial::toHornerForm(HornerForm&) const
  3.13      0.14     0.01  4112232     0.00     0.00  Interval::~Interval()
  3.13      0.14     0.01  1939268     0.00     0.00  Interval::operator=(Interval const&)
  3.13      0.15     0.01   418839     0.00     0.00  Interval::operator+=(Interval const&)
  3.13      0.15     0.01   198027     0.00     0.00  Interval::subseteq(Interval const&) const
  3.13      0.16     0.01                             Interval::abs_assign()
  3.13      0.16     0.01                             frame_dummy
  0.00      0.16     0.00  2525089     0.00     0.00  Monomial::~Monomial()
  0.00      0.16     0.00   962797     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&)
  0.00      0.16     0.00   938415     0.00     0.00  Interval::Interval()
  0.00      0.16     0.00   322239     0.00     0.00  Polynomial::~Polynomial()
  0.00      0.16     0.00   283425     0.00     0.00  Interval::Interval(double, double)
  0.00      0.16     0.00   251928     0.00     0.00  Monomial::operator*=(Monomial const&)
  0.00      0.16     0.00   150444     0.00     0.00  Interval::operator+(Interval const&) const
  0.00      0.16     0.00   143040     0.00     0.00  Interval::Interval(double)
  0.00      0.16     0.00    92573     0.00     0.00  Polynomial::operator+=(Polynomial const&)
  0.00      0.16     0.00    88341     0.00     0.00  Polynomial::clear()
  0.00      0.16     0.00    77322     0.00     0.00  Monomial::Monomial()
  0.00      0.16     0.00    70417     0.00     0.00  Interval::midpoint(Interval&) const
  0.00      0.16     0.00    67696     0.00     0.00  Polynomial::operator=(Polynomial const&)
  0.00      0.16     0.00    65603     0.00     0.00  Polynomial::mul_assign(Monomial const&)
  0.00      0.16     0.00    62274     0.00     0.00  TaylorModel::~TaylorModel()
  0.00      0.16     0.00    53306     0.00     0.00  Interval::operator-=(Interval const&)
  0.00      0.16     0.00    51727     0.00     0.00  Polynomial::Polynomial()
  0.00      0.16     0.00    38967     0.00     0.00  Interval::operator*(Interval const&) const
  0.00      0.16     0.00    38750     0.00     0.00  HornerForm::~HornerForm()
  0.00      0.16     0.00    38737     0.00     0.00  std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      0.16     0.00    37841     0.00     0.00  HornerForm::HornerForm(HornerForm const&)
  0.00      0.16     0.00    34677     0.00     0.00  Polynomial::intEvalNormal(Interval&, std::vector<Interval, std::allocator<Interval> > const&) const
  0.00      0.16     0.00    33469     0.00     0.00  TaylorModel::TaylorModel()
  0.00      0.16     0.00    29960     0.00     0.00  TaylorModel::operator=(TaylorModel const&)
  0.00      0.16     0.00    28377     0.00     0.00  std::list<Monomial, std::allocator<Monomial> >::list(std::list<Monomial, std::allocator<Monomial> > const&)
  0.00      0.16     0.00    25767     0.00     0.00  TaylorModel::clear()
  0.00      0.16     0.00    23964     0.00     0.00  TaylorModel::add_assign(TaylorModel const&)
  0.00      0.16     0.00    23475     0.00     0.00  Polynomial::Polynomial(Polynomial const&)
  0.00      0.16     0.00    22857     0.00     0.00  TaylorModel::TaylorModel(TaylorModel const&)
  0.00      0.16     0.00    22667     0.00     0.00  std::list<Monomial, std::allocator<Monomial> >::merge(std::list<Monomial, std::allocator<Monomial> >&)
  0.00      0.16     0.00    22436     0.00     0.00  std::list<Monomial, std::allocator<Monomial> >::sort()
  0.00      0.16     0.00    22424     0.00     0.00  HornerForm::clear()
  0.00      0.16     0.00    22424     0.00     0.00  Interval::set(double, double)
  0.00      0.16     0.00    22118     0.00     0.00  Polynomial::Polynomial(std::list<Monomial, std::allocator<Monomial> > const&)
  0.00      0.16     0.00    21428     0.00     0.00  serializeMpfr(_IO_FILE*, __mpfr_struct const*)
  0.00      0.16     0.00    17979     0.00     0.00  Polynomial::operator*=(Polynomial const&)
